Household_ID,Country,City,Family_Size,Num_Earners,Primary_Income,Total_Household_Income,Estimated_Taxes,Monthly_Expenses,Monthly_Savings
33,USA,New York,7,3,1493.22,3165.25,696.35,3003.82,-534.93
34,UK,London,5,2,7492.04,12669.39,3800.82,2686.01,6182.57
35,UK,London,1,1,1726.6,1726.6,431.65,1638.54,-343.59
36,Brazil,Sao Paulo,7,3,1756.76,3945.18,591.78,1763.97,1589.43
37,India,Mumbai,4,3,1100.68,2274.12,227.41,618.05,1428.65
38,USA,New York,4,2,3378.9,6223.83,1369.24,3153.85,1700.73
39,Germany,Berlin,5,3,3577.31,8256.86,3302.74,4138.62,815.49
40,India,Delhi,4,1,571.12,571.12,57.11,480.64,33.37
41,USA,New York,2,2,6066.32,9084.08,2452.7,2112.09,4519.29
42,India,Delhi,7,3,813.13,1975.34,197.53,872.5,905.3
43,USA,New York,1,1,4873.01,4873.01,1072.06,1912.67,1888.27
44,UK,London,2,2,4512.55,6934.33,1733.58,1775.5,3425.25
45,India,Delhi,4,1,678.6,678.6,67.86,434.32,176.42
46,Germany,Berlin,6,3,1137.76,2527.34,884.57,2398.44,-755.67
47,India,Mumbai,8,3,738.41,1634.08,163.41,1045.05,425.63
48,Germany,Berlin,1,1,4809.27,4809.27,1683.24,1493.67,1632.35
49,Germany,Munich,2,1,3550.84,3550.84,1242.79,2262.17,45.88
50,USA,Chicago,7,3,4216.27,8301.37,2241.37,3175.74,2884.26
51,UK,London,5,1,7346.58,7346.58,1836.64,4334.48,1175.45
52,Brazil,Sao Paulo,2,1,2307.42,2307.42,346.11,623.49,1337.82
53,UK,London,6,3,1504.41,3288.73,822.18,3000.74,-534.19
54,UK,London,4,2,4784.93,6855.7,1713.93,2256.25,2885.52
55,Germany,Munich,1,1,5014.08,5014.08,1754.93,1626.8,1632.35
56,UK,London,5,3,5100.83,11369.33,3410.8,2703.63,5254.9
57,USA,Chicago,1,1,3035.03,3035.03,667.71,1745.5,621.82
58,USA,New York,5,3,5447.01,12477.57,3368.94,4017.97,5090.66
59,USA,New York,8,3,3967.9,9692.12,2616.87,4015.75,3059.5
60,India,Mumbai,7,1,794.82,794.82,79.48,754.28,-38.95
61,India,Delhi,1,1,784.54,784.54,78.45,231.11,474.97
62,India,Mumbai,4,3,557.28,1346.29,134.63,536.61,675.05
63,Brazil,Sao Paulo,7,1,2945.95,2945.95,441.89,1483.16,1020.89
64,India,Delhi,7,3,472.99,1129.9,112.99,712.25,304.66
65,India,Delhi,8,3,1484.08,2785.4,278.54,996.94,1509.92
66,Germany,Munich,5,3,3189.27,6814.53,2385.09,2897.85,1531.59
67,USA,Chicago,3,3,4462.33,10160.36,2743.3,2896.14,4520.93
68,Brazil,Sao Paulo,1,1,2242.61,2242.61,336.39,671.38,1234.84
69,USA,Chicago,1,1,3700.59,3700.59,814.13,1717.02,1169.44
70,UK,London,2,2,4298.96,5905.99,1476.5,2572.68,1856.81
71,Brazil,Sao Paulo,5,3,1333.71,2922.69,438.4,1638.51,845.78
72,USA,New York,6,3,1653.32,3090.26,679.86,2932.66,-522.25
73,USA,Chicago,3,2,3441.24,5675.38,1248.58,2413.9,2012.9
74,Brazil,Sao Paulo,4,2,972.15,1434.74,215.21,1041.28,178.25
75,Brazil,Sao Paulo,2,2,2203.89,3733.23,559.99,885.13,2288.12
76,Brazil,Sao Paulo,8,3,1790.83,3811.49,571.72,1886.51,1353.25
77,Brazil,Sao Paulo,3,1,1502.97,1502.97,225.45,1196.56,80.97
78,USA,Chicago,5,3,4095.11,8404.49,2269.21,2829.53,3305.75
79,India,Mumbai,3,1,837.3,837.3,83.73,433.91,319.67
80,USA,Chicago,8,3,5456.33,11981.43,3234.99,4156.55,4589.9
81,UK,London,7,3,4542.76,9877.03,2963.11,5121.56,1792.36
82,Germany,Munich,1,1,8390.35,8390.35,3356.14,1323.51,3710.69
83,India,Mumbai,7,1,292.41,292.41,29.24,277.5,-14.33
84,USA,New York,1,1,5193.57,5193.57,1142.59,1479.17,2571.82
85,India,Mumbai,2,1,1209.61,1209.61,120.96,303.8,784.85
86,India,Delhi,8,2,732.57,1058.46,105.85,879.04,73.57
87,Brazil,Sao Paulo,5,3,899.19,1963.78,294.57,1329.63,339.58
88,Germany,Berlin,5,3,6274.97,13050.11,5220.04,2768.91,5061.16
89,UK,London,3,3,5125.75,12800.57,3840.17,2554.67,6405.73
90,India,Mumbai,2,2,396.59,624.15,62.41,495.2,66.54
91,USA,New York,5,1,3009.51,3009.51,662.09,2856.02,-508.61
92,Brazil,Sao Paulo,6,3,1781.46,3309.66,496.45,1521.85,1291.36
93,Brazil,Sao Paulo,6,3,2498.05,5038.19,755.73,1508.32,2774.14
94,Germany,Munich,7,3,4272.11,9362.66,3745.06,4060.05,1557.54
95,Brazil,Sao Paulo,1,1,1517.36,1517.36,227.6,783.03,506.72
96,India,Mumbai,3,2,357.87,653.72,65.37,424.4,163.95
97,Germany,Munich,4,3,3912.12,8426.89,3370.76,3065.18,1990.95
98,India,Delhi,8,3,1012.44,2045.62,204.56,673.48,1167.58
99,USA,New York,1,1,3757.48,3757.48,826.65,1413.36,1517.48
100,USA,Chicago,2,2,3669.92,6604.19,1452.92,1517.16,3634.11
101,USA,Chicago,5,2,5040.63,8421.12,2273.7,3738.88,2408.54
102,Germany,Berlin,1,1,5554.7,5554.7,1944.14,1750.38,1860.18
103,India,Delhi,4,1,301.78,301.78,30.18,286.39,-14.79
104,Germany,Berlin,4,2,5815.62,9439.09,3775.64,2779.65,2883.8
105,UK,London,6,3,6486.44,12748.57,3824.57,4601.51,4322.49
106,USA,Chicago,2,1,3264.55,3264.55,718.2,1443.53,1102.82
107,India,Delhi,1,1,1185.72,1185.72,118.57,280.04,787.11
108,Brazil,Sao Paulo,3,2,646.5,992.51,148.88,941.9,-98.26
109,USA,New York,1,1,2496.18,2496.18,549.16,1882.65,64.37
110,USA,New York,6,1,5829.24,5829.24,1282.43,3198.62,1348.19
111,India,Delhi,7,3,1236.1,2747.3,274.73,854.74,1617.83
112,USA,Chicago,4,3,3010.76,6653.98,1463.87,2919.27,2270.83
113,UK,London,2,1,5396.9,5396.9,1349.23,2503.31,1544.36
114,Brazil,Sao Paulo,2,2,2057.86,2977.62,446.64,597.82,1933.15
115,Germany,Berlin,3,2,4346.41,7222.95,2528.03,2552.34,2142.58
116,UK,London,2,2,3855.49,5916.1,1479.03,1718.92,2718.16
117,Brazil,Sao Paulo,6,1,1586.44,1586.44,237.97,1105.57,242.9
118,USA,Chicago,6,3,5484.7,11963.42,3230.12,3019.94,5713.35
119,UK,London,6,3,1436.19,3230.28,807.57,3065.53,-642.83
120,Germany,Munich,2,1,6066.61,6066.61,2123.31,1839.24,2104.06
121,Brazil,Sao Paulo,2,2,2064.79,3348.35,502.25,979.93,1866.16
122,UK,London,6,1,6541.07,6541.07,1635.27,3295.65,1610.15
123,India,Delhi,2,1,1139.44,1139.44,113.94,489.16,536.33
124,USA,Chicago,8,3,2285.21,4315.1,949.32,4095.03,-729.25
125,USA,New York,2,1,3902.29,3902.29,858.5,1562.28,1481.51
126,India,Mumbai,8,3,934.5,2072.3,207.23,965.29,899.79
127,Brazil,Sao Paulo,4,3,1983.48,4049.11,607.37,1030.75,2410.99
128,UK,London,1,1,5229.23,5229.23,1307.31,1513.94,2407.98
129,USA,New York,5,3,3817.79,7891.23,1736.07,3192.31,2962.85
130,Germany,Berlin,8,3,4981.38,10002.22,4000.89,4867.74,1133.59
131,India,Mumbai,8,2,673.92,1089.02,108.9,1006.71,-26.59
132,USA,New York,2,2,7093.08,11256.07,3039.14,2269.84,5947.1
133,USA,Chicago,5,3,4835.65,10621.38,2867.77,2992.52,4761.08
134,India,Mumbai,7,3,472.54,1017.57,101.76,965.68,-49.86
135,UK,London,5,3,6598.62,13356.12,4006.84,4293.7,5055.58
136,India,Delhi,4,3,739.87,1506.61,150.66,428.7,927.25
137,Germany,Munich,8,1,1688.72,1688.72,591.05,1602.59,-504.93
138,Brazil,Sao Paulo,2,1,815.86,815.86,122.38,759.63,-66.15
139,India,Delhi,6,3,944.1,2124.26,212.43,784.98,1126.85
140,UK,London,5,2,3804.62,6403.23,1600.81,3045.24,1757.18
141,UK,London,2,2,4244.31,6715.73,1678.93,1806.18,3230.62
142,India,Mumbai,3,3,1628.81,3602.34,360.23,531.08,2711.03
143,India,Delhi,7,3,1059.48,2746.62,274.66,882.38,1589.58
144,India,Mumbai,6,3,460.36,944.16,94.42,612.2,237.55
145,India,Delhi,3,1,1027.28,1027.28,102.73,585.51,339.05
146,USA,Chicago,3,1,2743.1,2743.1,603.48,2603.2,-463.58
147,Germany,Berlin,5,3,320.46,635.89,222.56,603.46,-190.13
148,Germany,Munich,3,2,5689.42,8999.58,3599.83,2928.62,2471.13
149,USA,Chicago,4,3,3597.44,7399.05,1627.79,2255.74,3515.52
150,India,Delhi,4,3,906.99,2107.58,210.76,562.1,1334.73
151,UK,London,5,3,2392.99,5546.84,1386.71,2839.38,1320.75
152,USA,Chicago,2,2,3677.13,5792.78,1274.41,1484.75,3033.63
153,USA,New York,1,1,1616.68,1616.68,355.67,1404.19,-143.18
154,India,Delhi,2,2,919.76,1605.21,160.52,320.56,1124.13
155,UK,London,2,1,2605.35,2605.35,651.34,2230.41,-276.39
156,USA,Chicago,2,1,3197.45,3197.45,703.44,2167.99,326.02
157,Germany,Berlin,2,1,5495.69,5495.69,1923.49,1760.65,1811.55
158,Brazil,Sao Paulo,6,2,1294.1,2234.08,335.11,1108.08,790.88
159,USA,Chicago,1,1,3331.37,3331.37,732.9,1785.96,812.51
160,Brazil,Sao Paulo,6,3,1410.79,3167.61,475.14,1089.68,1602.79
161,India,Delhi,3,1,1019.07,1019.07,101.91,442.79,474.37
162,Germany,Munich,7,2,3787.39,5956.2,2084.67,4584.41,-712.88
163,Germany,Munich,2,1,3454.5,3454.5,1209.07,2556.55,-311.12
164,Germany,Berlin,7,3,5901.92,11796.43,4718.57,5447.11,1630.75
165,USA,Chicago,4,3,2742.06,6696.92,1473.32,3210.91,2012.69
166,Brazil,Sao Paulo,5,3,1275.92,2472.24,370.84,1137.98,963.42
167,India,Mumbai,5,2,1269.2,2041.09,204.11,739.27,1097.71
168,USA,Chicago,6,1,5203.24,5203.24,1144.71,3222.94,835.58
169,USA,Chicago,6,2,5832.56,8682.67,2344.32,3157.8,3180.55
170,Germany,Munich,4,3,2515.51,5071.0,1774.85,3226.87,69.28
171,Germany,Berlin,2,1,3739.79,3739.79,1308.93,2390.48,40.39
172,USA,Chicago,7,3,4756.23,9336.16,2520.76,3160.96,3654.44
173,Germany,Munich,8,1,5376.33,5376.33,1881.72,3862.38,-367.77
174,USA,New York,7,3,4854.06,9060.72,2446.39,4827.91,1786.41
175,Germany,Berlin,1,1,6967.57,6967.57,2438.65,2026.18,2502.75
176,USA,New York,3,1,4370.1,4370.1,961.42,2557.86,850.81
177,Germany,Berlin,5,3,5055.0,10121.58,4048.63,3489.08,2583.87
178,India,Delhi,3,3,932.04,2306.37,230.64,575.16,1500.57
179,UK,London,1,1,3564.49,3564.49,891.12,1818.82,854.55
180,USA,Chicago,6,2,5233.06,8736.37,2358.82,3902.37,2475.18
181,India,Delhi,7,3,1237.53,2853.71,285.37,753.81,1814.53
182,USA,Chicago,5,2,4122.06,6312.01,1388.64,2756.39,2166.98
183,UK,London,3,2,4877.79,7152.48,1788.12,2428.28,2936.08
184,UK,London,8,3,5765.44,11307.78,3392.33,4286.93,3628.51
185,India,Mumbai,6,2,646.04,998.26,99.83,682.42,216.01
186,Germany,Munich,1,1,3545.36,3545.36,1240.87,1708.44,596.04
187,Brazil,Sao Paulo,8,3,1091.61,2478.04,371.71,1514.45,591.89
188,Germany,Munich,3,3,3655.86,7484.29,2619.5,3106.57,1758.22
189,Germany,Munich,8,3,3231.84,6999.12,2449.69,4099.41,450.02
190,USA,Chicago,7,2,2767.73,4744.84,1043.87,4136.67,-435.69
191,USA,New York,2,1,3382.68,3382.68,744.19,2245.65,392.84
192,UK,London,8,3,3074.9,7136.31,1784.08,4811.36,540.87
193,UK,London,6,3,5557.82,12378.57,3713.57,3629.31,5035.69
194,Germany,Munich,1,1,4912.52,4912.52,1719.38,1670.8,1522.34
195,India,Delhi,3,3,730.65,1609.39,160.94,576.05,872.4
196,India,Delhi,7,2,1044.09,1614.86,161.49,1059.64,393.73
197,Brazil,Sao Paulo,2,2,1564.63,2318.7,347.81,848.65,1122.24
198,UK,London,2,1,4274.08,4274.08,1068.52,2411.77,793.79
199,UK,London,1,1,3781.26,3781.26,945.32,1188.78,1647.17
200,Brazil,Sao Paulo,4,3,1546.8,3238.01,485.7,1381.35,1370.96
201,Germany,Berlin,7,3,4670.63,9788.66,3915.47,5736.76,136.44
202,USA,New York,7,3,4397.98,11224.48,3030.61,4351.39,3842.48
203,USA,Chicago,5,2,2083.6,3092.81,680.42,2935.08,-522.69
204,UK,London,1,1,6684.36,6684.36,1671.09,1628.24,3385.03
205,Germany,Munich,2,1,7282.2,7282.2,2548.77,1924.01,2809.42
206,USA,Chicago,2,2,910.33,1425.86,313.69,1353.14,-240.97
207,USA,New York,8,3,282.19,626.38,137.8,594.43,-105.86
208,Germany,Munich,1,1,1028.24,1028.24,359.88,975.8,-307.44
209,USA,Chicago,4,1,3522.28,3522.28,774.9,3108.25,-360.87
210,USA,Chicago,5,3,4810.95,9597.39,2591.29,3940.81,3065.29
211,Germany,Berlin,3,3,3330.04,7013.9,2454.87,2998.73,1560.31
212,Germany,Munich,1,1,4781.75,4781.75,1673.61,1427.08,1681.06
213,Germany,Munich,5,1,3356.43,3356.43,1174.75,3185.25,-1003.57
214,USA,New York,7,3,2512.34,5619.98,1236.39,5275.08,-891.5
215,Brazil,Sao Paulo,5,1,1557.2,1557.2,233.58,1359.28,-35.67
216,USA,New York,8,3,6579.65,13309.1,3593.46,5724.38,3991.26
217,India,Delhi,6,2,1010.58,1696.6,169.66,875.85,651.09
218,Brazil,Sao Paulo,2,1,1059.73,1059.73,158.96,863.72,37.04
219,Germany,Berlin,8,3,3444.2,8394.86,3357.94,4664.44,372.48
220,Brazil,Sao Paulo,3,3,2492.43,5050.24,757.54,864.68,3428.02
221,Germany,Munich,1,1,4086.37,4086.37,1430.23,1826.52,829.62
222,Germany,Berlin,8,3,5641.02,11203.95,4481.58,4895.06,1827.31
223,USA,New York,2,2,5159.77,7396.99,1627.34,2302.65,3467.0
224,India,Delhi,6,3,538.13,1240.51,124.05,854.27,262.19
225,India,Delhi,8,3,591.22,1328.46,132.85,829.31,366.3
226,USA,Chicago,6,2,6988.55,9717.61,2623.75,4153.57,2940.29
227,UK,London,8,2,4473.69,6339.63,1584.91,4836.58,-81.86
228,India,Mumbai,2,1,544.77,544.77,54.48,357.83,132.46
229,UK,London,4,1,2902.11,2902.11,725.53,2754.1,-577.52
230,Germany,Munich,5,3,6074.07,13930.77,5572.31,4412.8,3945.67
231,Brazil,Sao Paulo,1,1,1237.79,1237.79,185.67,568.8,483.32
232,Germany,Munich,1,1,6806.78,6806.78,2382.37,1497.56,2926.85
233,Germany,Munich,1,1,4578.22,4578.22,1602.38,1557.07,1418.77
234,India,Delhi,2,2,358.86,636.85,63.69,334.36,238.81
235,USA,Chicago,7,3,4786.06,10849.1,2929.26,4281.77,3638.07
236,Brazil,Sao Paulo,4,3,1037.28,2398.96,359.84,924.0,1115.12
237,India,Mumbai,3,3,789.02,1692.05,169.2,567.81,955.04
238,USA,Chicago,6,1,2304.93,2304.93,507.09,2187.38,-389.53
239,Germany,Munich,2,1,4163.65,4163.65,1457.28,2294.49,411.88
240,USA,New York,7,3,4253.93,9177.37,2477.89,3325.06,3374.42
241,UK,London,3,3,4957.85,9538.29,2861.49,3204.14,3472.66
242,UK,London,6,1,2644.03,2644.03,661.01,2509.18,-526.16
243,UK,London,6,3,5566.08,10980.68,3294.2,4617.09,3069.38
244,India,Delhi,4,3,1099.36,2864.91,286.49,655.82,1922.6
245,USA,Chicago,5,1,4392.79,4392.79,966.41,3684.65,-258.27
246,UK,London,1,1,6143.82,6143.82,1535.95,1905.74,2702.13
247,India,Delhi,8,3,495.75,993.02,99.3,722.63,171.09
248,UK,London,3,3,3102.26,6972.68,1743.17,2788.4,2441.11
249,UK,London,2,2,5459.38,8846.78,2654.03,1813.45,4379.3
250,UK,London,3,3,6077.33,12108.99,3632.7,2937.22,5539.07
251,India,Delhi,5,2,587.71,857.85,85.78,814.1,-42.03
252,India,Delhi,1,1,963.62,963.62,96.36,375.45,491.8
253,UK,London,3,3,3876.79,8319.11,2495.73,2007.32,3816.05
254,India,Mumbai,5,3,731.63,1550.23,155.02,613.04,782.17
255,USA,New York,2,1,2151.16,2151.16,473.26,1833.47,-155.56
256,Germany,Berlin,4,3,7459.82,17381.87,6952.75,2497.86,7931.26
257,UK,London,7,3,3929.14,8448.42,2534.53,3426.91,2486.98
258,Germany,Munich,6,1,5014.66,5014.66,1755.13,3855.69,-596.17
259,Germany,Berlin,2,1,3431.7,3431.7,1201.09,2762.58,-531.98
260,USA,Chicago,1,1,610.15,610.15,134.23,579.03,-103.12
261,Germany,Munich,6,2,2349.16,4246.7,1486.35,4030.12,-1269.76
262,UK,London,7,1,3709.51,3709.51,927.38,3520.32,-738.19
263,USA,Chicago,2,2,7007.79,11467.05,3096.1,2155.32,6215.63
264,Germany,Berlin,8,3,4057.42,8522.41,3408.97,6347.87,-1234.42
265,UK,London,2,2,4150.96,6255.96,1563.99,2179.58,2512.39
266,Brazil,Sao Paulo,2,1,1800.52,1800.52,270.08,604.1,926.34
267,Germany,Berlin,8,3,5207.13,13337.47,5334.99,5062.29,2940.19
268,Brazil,Sao Paulo,2,2,1272.2,2066.96,310.04,1004.87,752.05
269,India,Mumbai,6,3,1330.76,2619.03,261.9,702.06,1655.07
270,India,Delhi,1,1,212.37,212.37,21.24,201.54,-10.41
271,Brazil,Sao Paulo,7,3,1280.52,2704.8,405.72,1313.25,985.83
272,Brazil,Sao Paulo,5,3,1994.84,3885.29,582.79,1061.65,2240.85
273,UK,London,3,1,4396.52,4396.52,1099.13,3060.31,237.08
274,UK,London,8,3,3931.8,8874.54,2662.36,4322.71,1889.47
275,Germany,Berlin,4,1,2519.82,2519.82,881.94,2391.31,-753.43
276,Germany,Munich,8,3,4670.01,10586.99,4234.8,4769.35,1582.84
277,Brazil,Sao Paulo,7,1,1562.69,1562.69,234.4,1482.99,-154.71
278,Germany,Berlin,3,1,4007.34,4007.34,1402.57,2058.54,546.24
279,Brazil,Sao Paulo,3,2,1417.94,2073.53,311.03,1136.31,626.2
280,Brazil,Sao Paulo,4,3,1119.62,2542.8,381.42,1045.13,1116.25
281,UK,London,7,3,2220.85,4866.26,1216.56,4618.08,-968.39
282,India,Mumbai,6,3,678.2,1402.79,140.28,948.64,313.87
283,India,Delhi,1,1,337.56,337.56,33.76,282.58,21.22
284,USA,Chicago,4,1,4140.05,4140.05,910.81,2281.8,947.45
285,Germany,Berlin,1,1,6023.16,6023.16,2108.11,1365.4,2549.65
286,USA,New York,6,3,3650.63,7729.18,1700.42,4267.83,1760.93
287,India,Mumbai,3,2,626.28,920.48,92.05,390.26,438.17
288,Germany,Munich,1,1,8125.46,8125.46,3250.19,1472.63,3402.65
289,India,Delhi,6,3,807.53,1789.82,178.98,627.39,983.45
290,Germany,Berlin,6,3,5348.49,11768.71,4707.48,3790.14,3271.08
291,USA,New York,5,3,3555.1,7541.59,1659.15,2533.86,3348.58
292,USA,Chicago,4,3,5319.2,11710.66,3161.88,3416.52,5132.27
293,Brazil,Sao Paulo,5,3,1743.35,3379.36,506.9,1579.31,1293.15
294,India,Mumbai,8,3,1210.96,2841.07,284.11,880.12,1676.84
295,USA,Chicago,3,3,2090.75,4567.47,1004.84,2567.96,994.67
296,Germany,Munich,4,2,4511.43,8214.73,3285.89,3389.59,1539.25
297,Brazil,Sao Paulo,3,3,2472.85,6215.57,932.34,1099.61,4183.63
298,USA,Chicago,5,1,6821.14,6821.14,1500.65,3337.24,1983.25
299,Germany,Munich,7,3,368.81,814.9,285.22,773.34,-243.66
300,USA,Chicago,6,3,3994.21,8828.41,2383.67,4007.86,2436.88
301,USA,Chicago,3,1,2738.37,2738.37,602.44,2598.71,-462.78
302,Germany,Berlin,4,1,1094.49,1094.49,383.07,1038.67,-327.25
303,Germany,Munich,8,3,8152.5,19539.56,7815.83,4611.79,7111.95
304,Germany,Munich,4,3,4953.04,11158.82,4463.53,2750.84,3944.46
305,Brazil,Sao Paulo,3,1,1000.81,1000.81,150.12,949.77,-99.08
306,UK,London,4,3,2646.46,5738.18,1434.54,2773.94,1529.7
307,Germany,Berlin,8,3,4869.24,9792.82,3917.13,5193.75,681.94
308,India,Delhi,6,2,219.27,382.18,38.22,362.69,-18.73
309,Brazil,Sao Paulo,7,3,1214.82,2993.98,449.1,1979.1,565.78
310,India,Mumbai,6,2,295.26,481.41,48.14,456.86,-23.59
311,India,Delhi,4,1,673.69,673.69,67.37,594.53,11.79
312,USA,New York,8,2,1753.68,2986.41,657.01,2834.1,-504.7
313,USA,New York,8,3,4030.02,9865.91,2663.8,4326.97,2875.15
314,UK,London,3,3,1670.88,3256.39,814.1,2431.53,10.76
315,Brazil,Sao Paulo,5,3,1114.17,2462.75,369.41,1536.09,557.24
316,Germany,Munich,4,1,5362.56,5362.56,1876.9,2769.64,716.03
317,India,Delhi,4,1,795.72,795.72,79.57,687.88,28.27
318,USA,Chicago,4,3,3705.26,7436.29,1635.98,3478.3,2322.01
319,USA,Chicago,4,2,3609.69,6480.77,1425.77,3094.97,1960.03
320,India,Mumbai,3,1,538.84,538.84,53.88,511.36,-26.4
321,Germany,Berlin,5,3,3841.63,7730.16,2705.56,3853.64,1170.97
322,Brazil,Sao Paulo,5,3,2158.94,4806.5,720.98,1338.19,2747.34
323,Germany,Berlin,1,1,4835.56,4835.56,1692.45,2125.21,1017.9
324,India,Delhi,4,3,414.84,938.08,93.81,504.19,340.08
325,UK,London,4,3,5777.88,13690.11,4107.03,2436.5,7146.58
326,Brazil,Sao Paulo,1,1,1840.3,1840.3,276.05,544.6,1019.66
327,Germany,Berlin,5,3,5291.63,9501.79,3800.72,3856.96,1844.12
328,Germany,Munich,8,3,7594.86,15254.0,6101.6,4209.33,4943.07
329,India,Delhi,8,3,928.0,2126.71,212.67,1130.04,784.0
330,USA,New York,2,2,6981.71,12189.45,3291.15,1883.91,7014.39
331,India,Delhi,6,3,722.98,1656.3,165.63,890.78,599.88
332,Brazil,Sao Paulo,2,2,2306.98,3903.34,585.5,683.67,2634.17
333,USA,New York,5,2,3198.21,5036.57,1108.05,2963.7,964.82
334,USA,Chicago,7,3,4138.77,8519.51,2300.27,3175.03,3044.21
335,USA,New York,4,2,2658.23,4570.07,1005.42,2482.12,1082.54
336,USA,Chicago,2,2,3070.37,5078.1,1117.18,1969.54,1991.38
337,UK,London,3,3,5509.68,12503.9,3751.17,3159.35,5593.38
338,Brazil,Sao Paulo,8,3,1672.76,4041.41,606.21,1736.01,1699.18
339,India,Mumbai,3,1,1096.59,1096.59,109.66,520.89,466.04
340,USA,New York,1,1,4671.02,4671.02,1027.62,1479.28,2164.12
341,India,Delhi,5,3,788.63,1640.11,164.01,496.85,979.25
342,India,Delhi,5,1,822.26,822.26,82.23,661.27,78.76
343,USA,New York,2,2,2110.94,3129.34,688.46,1511.19,929.7
344,India,Delhi,4,2,678.73,1036.66,103.67,691.71,241.28
345,India,Delhi,5,2,753.42,1146.2,114.62,751.09,280.49
346,Germany,Munich,2,1,3729.71,3729.71,1305.4,2033.84,390.48
347,Germany,Berlin,2,2,2817.82,4902.69,1715.94,2344.58,842.17
348,USA,New York,6,3,3045.16,7524.89,1655.48,2948.54,2920.88
349,India,Delhi,6,1,646.97,646.97,64.7,613.98,-31.7
350,Germany,Munich,5,3,3408.33,7179.88,2512.96,4269.01,397.91
351,Germany,Berlin,2,2,1006.14,1718.6,601.51,1630.95,-513.86
352,UK,London,1,1,4622.9,4622.9,1155.73,1426.73,2040.45
353,Germany,Munich,1,1,5383.07,5383.07,1884.07,1475.7,2023.29
354,USA,New York,6,3,2303.11,4375.13,962.53,3783.65,-371.05
355,USA,Chicago,5,3,6637.1,13471.43,3637.29,4141.99,5692.15
356,Germany,Munich,8,3,5325.12,13190.37,5276.15,6247.69,1666.53
357,USA,Chicago,4,3,2805.28,6090.89,1340.0,2641.04,2109.86
358,Germany,Berlin,7,3,1969.43,4544.76,1590.66,4312.97,-1358.88
359,UK,London,8,3,2241.46,4329.34,1082.34,4108.54,-861.54
360,Germany,Berlin,1,1,3214.72,3214.72,1125.15,1473.1,616.47
361,India,Mumbai,1,1,835.54,835.54,83.55,363.49,388.49
362,Germany,Berlin,8,2,2532.39,4143.68,1450.29,3932.35,-1238.96
363,India,Delhi,6,1,711.64,711.64,71.16,675.35,-34.87
364,Germany,Munich,6,3,3324.72,6403.08,2241.08,3438.15,723.85
365,UK,London,5,3,4701.65,10299.45,3089.84,3478.38,3731.24
366,India,Mumbai,6,1,1373.58,1373.58,137.36,888.07,348.15
367,UK,London,3,1,5602.35,5602.35,1400.59,2579.88,1621.88
368,UK,London,7,3,5475.65,11104.19,3331.26,3487.52,4285.42
